experiment_accession,experiment_alias,experiment_title,biosample_accession,run_accession,bytes,spots,library,assay_type,sample,lab_host
SRX25195633,hammerhead_THLE_bind_r3,Hammerhead library THLE2 binding,SRS21884678,SRR29692553,207662881,3490056,Hammerhead,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195632,hammerhead_THLE_bind_r2,Hammerhead library THLE2 binding,SRS21884678,SRR29692554,163472941,2673461,Hammerhead,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195631,hammerhead_THLE_bind_r1,Hammerhead library THLE2 binding,SRS21884678,SRR29692555,120583487,1970960,Hammerhead,Binding,THLE2 (b),Homo sapiens THLE-2 cells
SRX25195630,hammerhead_hepG2_Binding_r3,Hammerhead library HEPG2 binding,SRS21884677,SRR29692556,180674408,2955424,Hammerhead,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195629,hammerhead_hepG2_Binding_r2,Hammerhead library HEPG2 binding,SRS21884677,SRR29692557,173771003,2826437,Hammerhead,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195628,KC-Virus2-Shark2_3,Shark2 modeling library virus DNA,SRS21884657,SRR29692558,879777325,15045202,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195627,hammerhead_hepG2_Binding_r1,Hammerhead library HEPG2 binding,SRS21884677,SRR29692559,217035689,3537253,Hammerhead,Binding,HEPG2 (b),Homo sapiens HepG2 cells
SRX25195626,hammerhead_start_virus_prod3_r3,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692560,313947166,5130759,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195625,hammerhead_start_virus_prod3_r2,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692561,372717841,6070071,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195624,hammerhead_start_virus_prod3_r1,Hammerhead library production round 3 virus DNA,SRS21884676,SRR29692562,319767009,5219156,Hammerhead,Virus DNA,missing,Homo sapiens HEK293 cells
SRX25195623,hammerhead_Brain_a4_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692563,408754593,6568051,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195622,hammerhead_Brain_a4_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692564,460414073,7425744,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195621,hammerhead_Brain_a4_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692565,330192086,5277932,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195620,hammerhead_Brain_a3_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692566,241455304,3848677,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195619,hammerhead_Brain_a3_r2,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692567,174220916,2741942,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195618,hammerhead_Brain_a3_r1,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692568,258036562,4077330,Hammerhead,Biodistribution,Brain,Mus musculus
SRX25195617,KC-Virus2-Shark2_2,Shark2 modeling library virus DNA,SRS21884657,SRR29692569,644317860,11152482,shark2,Virus DNA,,Homo sapiens HEK293 cells
SRX25195616,hammerhead_Brain_a2_r3,Hammerhead library mouse brain biodistribution,SRS21884675,SRR29692570,220105382,3446846,Hammerhead,Biodistribution,Brain,Mus musculus
